personId,name,team,pos,MIN,GP,Poss_on,ORtg_on,DRtg_on,Net_on,Poss_off,ORtg_off,DRtg_off,Net_off,on_off,qualified
1314581,R. Previatti,WEL,PF,318.1,21,645,104.7,120.4,-15.8,1063,95.5,113.7,-18.2,2.4,True
623893,L. Planells,COR,G,208.3,14,419,104.8,117.8,-13.0,711,101.6,116.9,-15.2,2.2,True
16177,M. Romero,MAL,G,489.6,22,929,107.0,104.2,2.8,722,111.5,110.8,0.8,2.1,True
17488,K. Wachsman,MAL,PF,556.5,22,1029,108.3,105.7,2.5,622,110.2,109.2,0.9,1.6,True
2096885,A. Peña,WEL,PF,366.9,11,733,99.4,121.5,-22.0,148,106.9,130.3,-23.4,1.4,False
2534742,T. Daniels,UUN,C,447.4,19,879,116.1,111.1,5.0,627,111.3,107.3,4.0,1.1,True
191795,S. Ottonello,BIG,PF,439.1,22,841,109.0,110.0,-1.0,827,113.9,116.0,-2.2,1.1,True
2324181,D. Hicks,BIG,G,719.4,22,1346,110.9,112.3,-1.4,321,113.5,115.9,-2.4,1.0,True
2321121,J. Feldeine,CNF,G,509.9,20,1049,111.5,100.8,10.7,583,111.1,101.2,9.9,0.9,True
2534718,J. Matos,BIG,PG,647.5,22,1204,112.4,113.8,-1.4,463,108.8,110.9,-2.2,0.8,True
2617486,W. Reed,BIG,C,226.5,9,378,118.0,118.4,-0.4,256,108.7,109.7,-1.0,0.7,True
2577763,A. Gilder Jr.,COR,PG,214.6,7,441,105.1,119.4,-14.3,139,100.5,115.4,-14.9,0.6,False
15251,L. Parodi,CNF,G,498.2,21,1007,113.3,104.4,8.9,716,106.8,98.5,8.3,0.5,True
1661038,P. Gomez,CNF,C,245.9,17,505,111.5,102.1,9.4,911,110.0,101.1,8.9,0.5,True
2620318,J. O'neal,COR,F,265.0,8,532,94.1,117.7,-23.6,115,93.8,117.8,-24.0,0.4,False
2534738,I. Ross,UAT,G,292.2,10,569,106.4,112.8,-6.4,196,98.0,104.7,-6.7,0.3,False
571401,X. Couste,GOE,F,311.2,16,613,108.2,118.6,-10.4,657,102.8,113.3,-10.5,0.1,True
2386709,C. Zinaich,CNF,F,433.4,16,905,113.9,99.5,14.4,415,112.7,98.1,14.5,-0.2,True
727814,I. Xavier,HYM,F,460.4,21,898,108.7,105.5,3.2,755,110.8,107.4,3.3,-0.2,True
16508,A. Acosta,GOE,G,454.4,18,898,100.6,108.4,-7.8,525,106.7,114.1,-7.5,-0.3,True
62685,S. Massa,UUN,F,495.4,22,941,110.7,107.3,3.3,728,115.6,111.9,3.7,-0.4,True
14724,S. Vidal,AGU,G,540.5,20,1083,114.0,107.4,6.7,511,114.4,107.2,7.2,-0.6,True
2534741,T. Prince,UAT,F,758.7,22,1467,108.8,109.0,-0.2,230,100.0,99.0,0.9,-1.2,True
2394559,D. Zekovic,MAL,C,566.0,22,1065,111.0,109.7,1.4,586,105.3,102.6,2.7,-1.3,True
17379,P. Rusch,COR,G,510.4,22,1038,97.1,115.4,-18.3,740,103.1,120.1,-17.0,-1.3,True
2620317,T. Ferguson,WEL,SG,223.4,8,462,94.5,109.1,-14.6,206,94.8,107.8,-13.0,-1.6,True
1334179,F. Garcia,WEL,G,511.5,22,1023,104.3,122.2,-17.9,765,92.7,108.9,-16.2,-1.7,True
425204,A. Louis,HYM,PF,560.1,21,1102,108.3,105.7,2.6,551,112.2,107.6,4.6,-2.1,True
2603089,C. Alaekwe,UAT,PG,400.4,12,785,108.2,103.3,4.8,147,121.9,114.2,7.6,-2.8,False
17628,E. Oglivie,CNF,C,257.7,12,539,107.0,102.6,4.4,463,110.1,102.5,7.6,-3.2,True
258698,M. Mayora,HYM,G,464.2,21,919,109.7,108.1,1.6,734,109.5,104.2,5.3,-3.7,True
15216,E. Gonzalez,COR,F,489.1,22,971,99.9,119.4,-19.5,807,99.3,115.1,-15.7,-3.8,True
2534717,E. Clark,AGU,PF,668.9,22,1340,115.2,109.2,6.0,416,115.2,105.1,10.1,-4.1,True
17571,F. Pereiras,AGU,PG,498.0,22,998,116.4,111.2,5.1,758,113.6,104.1,9.5,-4.4,True
1676246,N. Lema,CAP,PG,273.1,15,509,114.6,98.8,15.8,649,113.0,92.6,20.4,-4.6,True
2589974,E. Weaver,DSC,G,470.9,15,920,110.8,109.8,1.0,243,117.0,110.9,6.1,-5.2,True
16616,N. Catala,BIG,F,288.6,22,571,108.3,113.3,-5.0,1097,113.0,112.8,0.2,-5.2,True
1981004,D. Wright,DSC,PF,272.1,12,517,120.8,119.4,1.4,388,112.1,104.9,7.2,-5.8,True
17044,F. Verrone,GOE,PF,372.5,19,741,103.6,117.2,-13.6,765,100.6,108.2,-7.6,-6.0,True
15196,M. Cabot,CNF,G,302.2,19,613,109.9,102.6,7.3,942,111.6,98.3,13.3,-6.0,True
17101,J. Santiso,AGU,G,592.6,21,1162,112.9,107.0,5.8,516,120.0,107.7,12.3,-6.5,True
539387,F. Soto,DSC,F,459.0,18,869,107.6,110.7,-3.1,518,111.8,108.1,3.6,-6.7,True
16857,G. Iglesias,BIG,PF,520.4,22,950,111.0,115.6,-4.6,717,111.9,109.5,2.4,-7.0,True
1894506,A. Mendez,CNF,G,366.3,22,744,113.0,106.4,6.6,1067,111.6,97.7,13.9,-7.3,True
1346396,S. Fernandez,MAL,G,477.2,22,890,107.7,109.5,-1.8,761,110.5,104.1,6.4,-8.2,True
1642407,D. Pena Garcia,WEL,F,355.8,20,701,98.9,118.5,-19.7,910,101.0,112.4,-11.4,-8.2,True
725720,T. Metzger,DSC,PF,546.9,22,1045,108.9,110.8,-2.0,645,118.4,112.1,6.4,-8.3,True
1642412,S. Hogan,CAP,F,602.1,21,1173,115.2,96.9,18.4,450,119.2,92.2,27.0,-8.6,True
258681,M. Rojas,CAP,PF,436.6,21,843,111.6,95.0,16.6,780,121.5,96.2,25.3,-8.7,True
17677,B. Barrera,CNF,F,334.9,22,684,110.2,105.5,4.6,1127,113.4,98.7,14.6,-10.0,True
1644398,J. Sacco,UUN,PF,246.7,19,473,107.4,110.0,-2.6,950,115.5,107.6,8.0,-10.6,True
1765563,A. Moller,UUN,F,318.4,18,590,108.2,110.8,-2.6,755,117.1,108.9,8.3,-10.8,True
16807,A. Lopez,UAT,SG,408.5,22,792,106.7,113.1,-6.4,906,108.3,102.9,5.5,-11.8,True
312957,R. Hassan,WEL,C,418.8,13,853,96.4,112.4,-16.0,215,104.7,108.5,-3.8,-12.2,True
2486580,J. Canty,HYM,C,572.8,21,1121,109.2,110.3,-1.1,532,110.4,98.2,12.2,-13.3,True
2534734,J. Cruz,MAL,F,431.8,14,830,106.5,108.9,-2.4,237,109.0,97.0,12.0,-14.3,True
2178363,E. Romero,CAP,C,250.5,12,485,110.5,98.3,12.2,453,116.6,88.9,27.6,-15.4,True
1989296,T. Rodriguez,BIG,G,279.4,22,523,108.5,122.0,-13.5,1144,112.7,108.8,3.9,-17.4,True
17071,F. Bavosi,CAP,G,284.0,20,540,107.0,97.9,9.0,1004,122.9,96.1,26.8,-17.8,True
2486578,A. Nation,HYM,G,491.9,18,957,105.4,108.2,-2.8,460,117.4,101.9,15.6,-18.4,True
16715,B. Garcia,BIG,PG,383.9,20,712,103.8,118.0,-14.2,796,118.4,110.0,8.4,-22.6,True
701864,D. Sims,AGU,PG,214.1,8,427,115.6,116.8,-1.2,205,117.1,94.2,22.9,-24.1,True
